award,film,nominee_x,year,genre,win,nominee_y
PRODUCTION DESIGN,Winterset,Perry Ferguson,1936,M,0.0,
PRODUCTION DESIGN,The Magnificent Brute,"Albert S. D'Agostino, Jack Otterson",1936,M,0.0,
PRODUCTION DESIGN,Lloyds of London,William S. Darling,1936,M,0.0,
PRODUCTION DESIGN,The Great Ziegfeld,"Cedric Gibbons, Eddie Imazu, Edwin B. Willis",1936,M,0.0,
PRODUCTION DESIGN,Romeo and Juliet,"Cedric Gibbons, Fredric Hope, Edwin B. Willis",1936,M,0.0,
PRODUCTION DESIGN,Anthony Adverse,Anton Grot,1936,M,0.0,
PRODUCTION DESIGN,Dodsworth,Richard Day,1936,M,1.0,
WRITING (Original Screenplay),San Francisco,Robert Hopkins,1936,M,0.0,
WRITING (Original Screenplay),The Great Ziegfeld,William Anthony McGuire,1936,M,0.0,
WRITING (Original Screenplay),Fury,Norman Krasna,1936,M,0.0,
SHORT FILM (Animated),The Country Cousin,"Walt Disney, Producer",1936,M,1.0,
MUSIC (Original Song),"""The Way You Look Tonight"" from Swing Time",Music by Jerome Kern; Lyrics by Dorothy Fields,1936,X,1.0,2.0
MUSIC (Original Song),"""Pennies From Heaven"" from Pennies from Heaven",Music by Arthur Johnston; Lyrics by Johnny Burke,1936,M,0.0,
MUSIC (Original Song),"""A Melody From The Sky"" from Trail of the Lonesome Pine",Music by Louis Alter; Lyrics by Sidney Mitchell,1936,M,0.0,
MUSIC (Original Song),"""Did I Remember"" from Suzy",Music by Walter Donaldson; Lyrics by Harold Adamson,1936,M,0.0,
MUSIC (Original Song),"""When Did You Leave Heaven"" from Sing, Baby, Sing",Music by Richard A. Whiting; Lyrics by Walter Bullock,1936,M,0.0,
WRITING (Original Screenplay),Three Smart Girls,Adele Comandini,1936,F,0.0,
FILM EDITING,Lloyds of London,Barbara McLean,1936,F,0.0,
MUSIC (Original Score),Quality Street,"RKO Radio Studio Music Department, Roy Webb, musical director (Score by Roy Webb)",1937,M,0.0,
MUSIC (Original Score),Snow White and the Seven Dwarfs,"Walt Disney Studio Music Department, Leigh Harline, head of department (Score by Frank Churchill, Leigh Harline and Paul J. Smith)",1937,M,0.0,
CINEMATOGRAPHY,Dead End,Gregg Toland,1937,M,0.0,
MUSIC (Original Score),The Prisoner of Zenda,"Selznick International Pictures Music Department, Alfred Newman, musical director (Score by Alfred Newman)",1937,M,0.0,
MUSIC (Original Score),Something to Sing About,"Grand National Studio Music Department, C. Bakaleinikoff, musical director (Score by Victor Schertzinger)",1937,M,0.0,
MUSIC (Original Score),Portia on Trial,"Republic Studio Music Department, Alberto Colombo, head of department (Score by Alberto Colombo)",1937,M,0.0,
MUSIC (Original Score),Make a Wish,"Principal Productions, Dr. Hugo Riesenfeld, musical director (Score by Dr. Hugo Riesenfeld)",1937,M,0.0,
PRODUCTION DESIGN,Every Day's a Holiday,Wiard Ihnen,1937,M,0.0,
PRODUCTION DESIGN,Dead End,Richard Day,1937,M,0.0,
PRODUCTION DESIGN,A Damsel in Distress,Carroll Clark,1937,M,0.0,
PRODUCTION DESIGN,Conquest,"Cedric Gibbons, William Horning",1937,M,0.0,
PRODUCTION DESIGN,Manhattan Merry-Go-Round,John Victor Mackay,1937,M,0.0,
WRITING (Adapted Screenplay),A Star Is Born,"Dorothy Parker, Alan Campbell, Robert Carson",1937,X,0.0,2.0
PRODUCTION DESIGN,The Prisoner of Zenda,Lyle Wheeler,1937,M,0.0,
PRODUCTION DESIGN,Souls at Sea,"Hans Dreier, Roland Anderson",1937,M,0.0,
PRODUCTION DESIGN,Walter Wanger's Vogues of 1938,Alexander Toluboff,1937,M,0.0,
DIRECTING,The Good Earth,Sidney Franklin,1937,M,0.0,
DIRECTING,The Awful Truth,Leo McCarey,1937,M,1.0,
PRODUCTION DESIGN,The Life of Emile Zola,Anton Grot,1937,M,0.0,
PRODUCTION DESIGN,Lost Horizon,Stephen Goosson,1937,M,1.0,
DIRECTING,The Life of Emile Zola,William Dieterle,1937,M,0.0,
MUSIC (Original Score),Souls at Sea,"Paramount Studio Music Department, Boris Morros, head of department (Score by W. Franke Harling and Milan Roder)",1937,M,0.0,
MUSIC (Original Score),The Life of Emile Zola,"Warner Bros. Studio Music Department, Leo Forbstein, head of department (Score by Max Steiner)",1937,M,0.0,
MUSIC (Original Score),The Hurricane,"Samuel Goldwyn Studio Music Department, Alfred Newman, head of department (Score by Alfred Newman)",1937,M,0.0,
FILM EDITING,One Hundred Men and a Girl,Bernard W. Burton,1937,M,0.0,
FILM EDITING,Lost Horizon,"Gene Havlick, Gene Milford",1937,M,1.0,
FILM EDITING,The Good Earth,Basil Wrangell,1937,M,0.0,
FILM EDITING,Captains Courageous,Elmo Veron,1937,M,0.0,
MUSIC (Original Score),Maytime,"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department (Score by Herbert Stothart)",1937,M,0.0,
MUSIC (Original Score),Lost Horizon,"Columbia Studio Music Department, Morris Stoloff, head of department (Score by Dimitri Tiomkin)",1937,M,0.0,
MUSIC (Original Song),"""That Old Feeling"" from Walter Wanger's Vogues of 1938",Music by Sammy Fain; Lyrics by Lew Brown,1937,M,0.0,
MUSIC (Original Song),"""Remember Me"" from Mr. Dodd Takes the Air",Music by Harry Warren; Lyrics by Al Dubin,1937,M,0.0,
